lp;date;value;volume
1;1476576000;638.97;1289.54
2;1476662400;636.91;3958.04
3;1476748800;635.95;2731.18
4;1476835200;627.98;4472.9
5;1476921600;628.89;2040.01
6;1477008000;629;3050.51
7;1477094400;654.52;4351.62
8;1477180800;648.74;2535.01
9;1477267200;648.6;4679
10;1477353600;651.97;6106.92
11;1477440000;675.11;6716.23
12;1477526400;684.71;4545.44
13;1477612800;685.91;3574.08
14;1477699200;711.13;4034.88
15;1477785600;697.23;3752.53
16;1477872000;697.01;4655.89
17;1477958400;726.6;6570.02
18;1478044800;742;4320.53
19;1478131200;685.22;12102.24
20;1478217600;702.7;5345.68
21;1478304000;703.46;1918.31
22;1478390400;709.93;2292.86
23;1478476800;702.86;3020.87
24;1478563200;709.31;5526.47
25;1478649600;721.5;9726.25
26;1478736000;714.47;4996.45
27;1478822400;716.39;3328.33
28;1478908800;702.28;2811.55
29;1478995200;700.38;6023.55
30;1479081600;703.82;7566.58
31;1479168000;711.06;5668.94
32;1479254400;739.71;11585.05
33;1479340800;735.24;6681.43
34;1479427200;748.98;4271.04
35;1479513600;750.75;1965.44
36;1479600000;727.09;5525.96
37;1479686400;736.76;4017.58
38;1479772800;749.22;5034.7
39;1479859200;740.18;4462.78
40;1479945600;735.63;4039.82
41;1480032000;737.07;3356.09
42;1480118400;729.91;2314.58
43;1480204800;727.32;3447.87
44;1480291200;729.54;4741.12
45;1480377600;730.76;5406.9
46;1480464000;742.06;6249.62
47;1480550400;751.54;6124.5
48;1480636800;769.99;8098.58
49;1480723200;760.75;2772.66
50;1480809600;762;3215.68
51;1480896000;750.24;5567.77
52;1480982400;758.98;6763.74
53;1481068800;763.99;4809.71
54;1481155200;766.84;4892.94
55;1481241600;769.57;2868.42
56;1481328000;772.28;2200.71
57;1481414400;768.97;1421.13
58;1481500800;776.9;2805.19
59;1481587200;775.35;4918.81
60;1481673600;777.09;2333.38
61;1481760000;775.89;3039.82
62;1481846400;781.32;3475.77
63;1481932800;788.52;2389.76
64;1482019200;788.67;2519.24
65;1482105600;791;3917.87
66;1482192000;798.65;4118.69
67;1482278400;832.75;9391.36
68;1482364800;859.96;12070.35
69;1482451200;914;16526.63
70;1482537600;892.61;6026.45
71;1482624000;890.67;4658.24
72;1482710400;897.1;3467.55
73;1482796800;930.34;7225.77
74;1482883200;976.47;12285.11
75;1482969600;969.58;7858.46
76;1483056000;959.54;10755.04
77;1483142400;966.3;4162.92
78;1483228800;997.75;6850.59
79;1483315200;1012.54;8167.38
80;1483401600;1035.24;9089.66
81;1483488000;1114.92;21562.46
82;1483574400;1004.74;36018.86
83;1483660800;893.89;27916.7
84;1483747200;906.2;20401.11
85;1483833600;909.75;8937.49
86;1483920000;896.23;8716.18
87;1484006400;905.05;8535.52
88;1484092800;778.62;35893.77
89;1484179200;807.47;17400.14
90;1484265600;825.86;11409.52
91;1484352000;818.27;6614.72
92;1484438400;821.86;4231.46
93;1484524800;831.81;6166.04
94;1484611200;905.99;12264.17
95;1484697600;887.7;11181.9
96;1484784000;901.01;11094.6
97;1484870400;895.8;6618.63
98;1484956800;921.98;5865.63
99;1485043200;923.76;7166.67
100;1485129600;913.52;3514.74
101;1485216000;885.47;9405.05
102;1485302400;893.43;5291.55
103;1485388800;914.83;5164.9
104;1485475200;918.02;4830.54
105;1485561600;918.6;1175.86
106;1485648000;912.01;1349.01
107;1485734400;919.99;3121.19
108;1485820800;963.99;9507.1
109;1485907200;983.67;6954.4
110;1485993600;1009.17;8269.68
111;1486080000;1016.99;10928.02
112;1486166400;1033.18;5752.29
113;1486252800;1011.07;4348.17
114;1486339200;1023.99;5080.85
115;1486425600;1052.48;5372.13
116;1486512000;1050.4;9633.26
117;1486598400;986;25150.07
118;1486684800;996.08;10731.29
119;1486771200;1012.4;4472.51
120;1486857600;1000.73;2684
121;1486944000;1000.79;4547.26
122;1487030400;1008.88;6761.11
123;1487116800;1011.53;3095.66
124;1487203200;1032.7;5996.1
125;1487289600;1055.46;6085.02
126;1487376000;1056.4;4474.95
127;1487462400;1051.8;2270.85
128;1487548800;1084;3664.37
129;1487635200;1124.62;8395.47
130;1487721600;1130.01;11673.09
131;1487808000;1188.11;11753.24
132;1487894400;1180.14;19598.23
133;1487980800;1152.2;6238.44
134;1488067200;1179.05;3536.49
135;1488153600;1194.64;4640.77
136;1488240000;1191.21;7562.47
137;1488326400;1226.39;6013.07
138;1488412800;1257.6;7762.73
139;1488499200;1285.33;7545.48
140;1488585600;1260;4951.23
141;1488672000;1273;3026.02
142;1488758400;1278.49;4249.65
143;1488844800;1233.05;14450.04
144;1488931200;1150.05;13399.44
145;1489017600;1190.89;7654.74
146;1489104000;1116.97;33467.94
147;1489190400;1176.55;7346.79
148;1489276800;1226.62;5793.91
149;1489363200;1242.46;5637.36
150;1489449600;1245.86;5745.5
151;1489536000;1257.32;3930.5
152;1489622400;1172.62;15246.55
153;1489708800;1071.02;16704.57
154;1489795200;969.4;21292.6
155;1489881600;1017.97;12201.86
156;1489968000;1035.96;7497.91
157;1490054400;1114.39;11125.5
158;1490140800;1037.56;14521.26
159;1490227200;1029.65;5917
160;1490313600;929.06;16072.42
161;1490400000;956.02;13507.44
162;1490486400;960;9012.92
163;1490572800;1039.92;8687.09
164;1490659200;1043.99;9115.52
165;1490745600;1035.96;9379.72
166;1490832000;1033.7;8645.38
167;1490918400;1070.31;12058.79
168;1491004800;1083.94;5209.13
169;1491091200;1078.01;7639.9
170;1491177600;1144.77;11076.86
171;1491264000;1143;7420.87
172;1491350400;1134.58;5588.98
173;1491436800;1190.85;9134.3
174;1491523200;1190.66;5450.27
175;1491609600;1184.03;2720.8
176;1491696000;1206.2;4817.42
177;1491782400;1209.25;3656.82
178;1491868800;1218.99;3487.75
179;1491955200;1212.17;3475.19
180;1492041600;1172.91;7135.3
181;1492128000;1170.34;8982.77
182;1492214400;1173.45;1804.45
183;1492300800;1162.31;2663.99
184;1492387200;1176.54;3568.83
185;1492473600;1202.58;5514.18
186;1492560000;1203.98;6046.52
187;1492646400;1234.19;5972.94
188;1492732800;1243.61;5023.04
189;1492819200;1233.2;4173.28
190;1492905600;1241.99;2604.72
191;1492992000;1253.58;3048.69
192;1493078400;1269;5249.77
193;1493164800;1287.99;8707.64
194;1493251200;1331.53;6669.99
195;1493337600;1330.7;8234.28
196;1493424000;1333;3927.45
197;1493510400;1350.21;3536.18
198;1493596800;1390.86;8604.41
199;1493683200;1447.75;8920.69
200;1493769600;1503.22;11077.59
201;1493856000;1537.23;19548.53
202;1493942400;1514.9;15603.68
203;1494028800;1558.02;7901.14
204;1494115200;1554.01;7667.79
205;1494201600;1649.54;19262.35
206;1494288000;1720.28;16807.73
207;1494374400;1772.58;11265.38
208;1494460800;1828.45;14740.22
209;1494547200;1691.51;17062.84
210;1494633600;1776.89;10532.23
211;1494720000;1784;4816.73
212;1494806400;1705.48;13316.8
213;1494892800;1700.01;16554.09
214;1494979200;1782.99;17797.32
215;1495065600;1878.99;11916.12
216;1495152000;1958;14124.62
217;1495238400;2013.99;12309.95
218;1495324800;2017.55;6755.83
219;1495411200;2099.97;16338.54
220;1495497600;2264.23;14138.92
221;1495584000;2420.29;22144.6
222;1495670400;2292.53;32964.76
223;1495756800;2279.82;28326.82
224;1495843200;2042;26216.28
225;1495929600;2178.81;15375.22
226;1496016000;2292.1;12129.28
227;1496102400;2203.51;13888.85
228;1496188800;2298.01;16279.29
229;1496275200;2413.63;18401.66
230;1496361600;2488.94;12428.7
231;1496448000;2540.94;10810.58
232;1496534400;2530.27;8828.62
233;1496620800;2698;12221.44
234;1496707200;2880.74;26695.67
235;1496793600;2683.03;16967.04
236;1496880000;2806;13251.41
237;1496966400;2822.32;8036.31
238;1497052800;2899.99;9593.36
239;1497139200;2954.22;6830.61
240;1497225600;2667.06;31534.95
241;1497312000;2703.02;16275.83
242;1497398400;2450;29478.82
243;1497484800;2424.91;36751.09
244;1497571200;2484.68;13802.39
245;1497657600;2630;11142.99
246;1497744000;2516.98;9424.23
247;1497830400;2598;10570.67
248;1497916800;2740;15891.7
249;1498003200;2657.04;15676.32
250;1498089600;2713.48;10792.79
251;1498176000;2685.05;8232.48
252;1498262400;2557.66;13342.82
253;1498348800;2502.03;10339.57
254;1498435200;2421.22;22094.21
255;1498521600;2565;19129.6
256;1498608000;2559.9;12274.55
257;1498694400;2541.59;8125.38
258;1498780800;2465.49;8715.72
259;1498867200;2412.41;8885.89
260;1498953600;2504.37;8744.53
261;1499040000;2550.47;11520.71
262;1499126400;2596.12;9662.76
263;1499212800;2602.9;10882.84
264;1499299200;2600.39;8333.98
265;1499385600;2501.46;9430.62
266;1499472000;2550.07;5405.89
267;1499558400;2502.28;4483.14
268;1499644800;2323.45;17296.34
269;1499731200;2305.98;17580.96
270;1499817600;2388;12883.55
271;1499904000;2339.99;8429.85
272;1499990400;2213.37;12659.02
273;1500076800;1970.51;19886.68
274;1500163200;1917.63;25562.71
275;1500249600;2226;26448.5
276;1500336000;2303.71;25204.49
277;1500422400;2265.21;17009.88
278;1500508800;2875.03;30989.89
279;1500595200;2670;20724.16
280;1500681600;2832.71;12819.63
281;1500768000;2749.02;11001.96
282;1500854400;2759.98;10001.92
283;1500940800;2564.82;21326.55
284;1501027200;2524.99;17713.67
285;1501113600;2666.33;11826.48
286;1501200000;2777.01;14069.5
287;1501286400;2680.56;10782.22
288;1501372800;2742.37;9678.16
289;1501459200;2855.81;11114.34
290;1501545600;2731;12525.08
291;1501632000;2703.51;9486.63
292;1501718400;2793.37;7963.7
293;1501804800;2855;7635.82
294;1501891200;3263.62;16996.27
295;1501977600;3222.75;5998.74
296;1502064000;3387.55;12046.12
297;1502150400;3412.41;15835.37
298;1502236800;3342.99;14286.84
299;1502323200;3413.03;9031.12
300;1502409600;3645.06;11927.37
301;1502496000;3855.1;12351.07
302;1502582400;4053.87;15889.83
303;1502668800;4306.23;14212.3
304;1502755200;4155.67;25515.72
305;1502841600;4378.84;12923.64
306;1502928000;4276.5;14573.19
307;1503014400;4100;17516.99
308;1503100800;4099.55;15036.18
309;1503187200;4058.68;6237.97
310;1503273600;3987.52;9782.06
311;1503360000;4085;23522.76
312;1503446400;4108.12;14979.4
313;1503532800;4300.34;10782.69
314;1503619200;4355.98;9699.61
315;1503705600;4333.38;6559.67
316;1503792000;4337.68;3979.12
317;1503878400;4379.99;8641
318;1503964800;4578.82;11879.64
319;1504051200;4573.2;8720.04
320;1504137600;4734.26;8911.41
321;1504224000;4921.7;15367.53
322;1504310400;4599.9;16977.79
323;1504396800;4606.26;11224.91
324;1504483200;4277;25069.13
325;1504569600;4396.52;20884.22
326;1504656000;4605.8;16634.1
327;1504742400;4615;9254.85
328;1504828800;4312;23693.3
329;1504915200;4308.72;9974.39
330;1505001600;4226.22;14724.2
331;1505088000;4207.31;11191.6
332;1505174400;4172.56;13294.44
333;1505260800;3865.34;29636.38
334;1505347200;3227.79;41319.4
335;1505433600;3700.01;60278.95
336;1505520000;3678.93;23158.23
337;1505606400;3662.99;11770.22
338;1505692800;4101.6;17207.6
339;1505779200;3888.8;15278.93
340;1505865600;3874.46;11660.27
341;1505952000;3617.05;17904.3
342;1506038400;3612.18;15007.74
343;1506124800;3779.17;10123.23
344;1506211200;3664.22;6508.72
345;1506297600;3918;14979.78
346;1506384000;3888.03;10014.62
347;1506470400;4199.29;15075.84
348;1506556800;4184.84;9625.93
349;1506643200;4164.82;12191.93
350;1506729600;4326.09;7496.78
351;1506816000;4377.22;7211.34
352;1506902400;4391.48;8259.82
353;1506988800;4315.83;12468.06
354;1507075200;4219.53;8518.99
355;1507161600;4301.09;8419.96
356;1507248000;4362.95;8377.3
357;1507334400;4423.3;4646.41
358;1507420800;4597.98;10083.87
359;1507507200;4764.7;12923.67
360;1507593600;4813;5287.53
